Category: All categories

Region,"Real Madrid CF: (11/19/24, 9:00 AM - 11/20/24, 9:00 AM)"
Virginia,100
New Jersey,99
Maryland,99
California,93
Texas,92
Florida,91
New York,84
Georgia,78
North Carolina,76
Illinois,73
District of Columbia,72
Massachusetts,69
Nevada,69
Rhode Island,67
Connecticut,64
Nebraska,63
Arizona,61
Washington,60
Utah,60
Indiana,57
South Carolina,56
Minnesota,52
Delaware,51
Oregon,49
Colorado,49
Missouri,48
Tennessee,47
Michigan,47
Oklahoma,47
Kansas,46
Louisiana,46
Alabama,44
Arkansas,44
Kentucky,43
South Dakota,41
Pennsylvania,40
Wisconsin,40
Iowa,39
Wyoming,39
Ohio,37
Mississippi,36
New Mexico,35
Idaho,29
Vermont,25
New Hampshire,23
North Dakota,22
Montana,21
West Virginia,18
Maine,17
Hawaii,11
Alaska,
