section,student_id,W0W,W0F,W1M,W1W,W1F,W2M,W2W,W2F,W3M,W3W,W3F,W4M,W4W,W4F,W5M,W5F,W6M,W6W,W6F,W7M,W7W,W8W,W8F,W9M,W9F,W10M,W10W,W10F,W11M,W11W,W11F,W12M,W12W,W12F,W13M,W13W,W14M,W14W
810,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,2,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA
810,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA
810,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,5,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,NA
810,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,NA,NA,NA,NA,x,NA,NA,x,NA,NA,x,NA,NA,x,NA,x,x,NA
810,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,8,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,NA,NA,x,NA,x,NA,NA,NA,NA,x,x,NA,NA,x,NA,x,x,NA
810,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA
810,10,NA,NA,x,x,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,x,NA,NA,NA,x,NA,NA,x,NA,x,NA,NA,x,NA,NA,x,x,x,x,x,NA,x,NA
