style,Name,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall
Blonde,Summer Love,Victory Brewing Company,Victory Brewing Company Summer Love,"Notes:CompositionMalt: imported 2 row German maltsHops: whole flower Tettnang Tettnang, Simcoe and Citra hopsABV: 5.2%FlavorWith the sublime, earthy familiarity of noble European hops backed up by fresh, clean German malts, Summer Love Ale ends with a surprising burst of lemony refreshment from fistfuls of American whole flower hops. Love Summer, now.\t",5.2,15,25,30,19,2,61,17,41,2,48,88,3,38,3.736181,3.824121,3.836683,3.909548,3.919598
Blonde,Sweet Action,Sixpoint Brewery,Sixpoint Brewery Sweet Action,"Notes:Ever heard of Sweet Action...the magazine? That short-lived sensation sparked one of our first collaborations--the beer you hold in your hand. Our quest to classify SWEET ACTION has ended; it's a beer your brain can't categorize, but instead speaks directly to your palate. Our senses and intuition sometimes conquer rational thought. It's Mad Science.\t",5,15,25,13,38,7,54,39,38,0,40,81,2,50,3.844891,3.917883,3.963504,3.941606,4.032847
Blonde,Big Wave Golden Ale,Kona Brewing Co.,Kona Brewing Co. Big Wave Golden Ale,"Notes:Big Wave is light golden ale with a subtle fruitiness and delicate hop aroma. A smooth, easy drinking refreshing ale. The lightly roasted honey malt contributes to the golden hue of this beer and also gives a slight sweetness that is balanced out by our special blend of hops.20 IBU\t",4.4,15,25,9,25,7,31,35,27,2,35,49,0,34,3.34,3.37,3.45,3.44,3.55
Blonde,Twilight Summer Ale,Deschutes Brewery,Deschutes Brewery Twilight Ale,"Notes:Summer has its own rules. As luck would have it, it also has it's own beer. This clever golden-hued ale pours remarkably crisp and clean. A distinctive malt body complements a refreshing hop profile led by a heady dose of bold Amarillo hops. Enjoy.Malt: Pale, Carapils, Crystal, MunichHops: Sterling, Celeia, Cascade, Tettnang38 IBU\t",5,15,25,28,37,8,62,48,79,0,82,102,17,100,3.573248,3.713376,3.63535,3.649682,3.904459
Blonde,Export Ale,Shipyard Brewing Co.,Shipyard Brewing Co. Shipyard Export Ale,Notes:,5.1,15,25,15,41,13,34,45,39,7,35,61,4,85,3.241602,3.471576,3.326873,3.350129,3.489664
Blonde,Fireman's #4,Real Ale Brewing Company,Real Ale Brewing Company Fireman's #4,Notes:,5.1,15,25,14,17,10,24,26,21,8,26,39,10,36,3.304196,3.454545,3.440559,3.433566,3.744755
Blonde,Samurai Ale,Great Divide Brewing Company,Great Divide Brewing Company Samurai Ale,"Notes:Samurai is the perfect beer for your zen garden after battle, or your patio after a long day of work. The addition of rice gives a slightly fruity, crisp, refreshing element to this hazy unfiltered ale, creating a light, easy-going beer suitable for the peaceful warrior. This may be your first Samurai, but it certainly won’t be your last.\t",5.1,15,25,36,31,6,43,47,58,3,50,71,4,107,3.303077,3.578462,3.575385,3.430769,3.696923
Blonde,Bombshell Blonde,Southern Star Brewing Company,Southern Star Brewing Company Bombshell Blonde,"Notes:A rich, creamy golden colored ale fermented at a cool temperature to give a clean finish. Hints of yeasty bread and a touch of hops combine to make a beer that is truly more than the sum of its parts.20 IBUMalt: Rahr Special Pale, Wyermann ViennaHops: Saphir, SterlingYeast: California Ale\t",5.25,15,25,29,41,10,28,27,26,5,30,41,6,67,3.609827,3.852601,3.858382,3.745665,3.988439
Blonde,Farmhouse Summer Ale,Flying Fish Brewing Company,Flying Fish Brewing Company Farmhouse Summer Ale,"Notes:A tribute to the highly drinkable ""every day"" beers from French-speaking Belgium. Contains Belgian two-row pale malt and 7% wheat. This beer is lightly filtered with an earthy, spicy hop character from imported Styrian Goldings hops and a beautiful rich creamy head from the wheat.\t",4.6,15,25,12,17,6,28,27,35,4,33,41,14,46,3.307692,3.436813,3.453297,3.431319,3.741758
Blonde,Single Chair Golden Ale,Magic Hat Brewing Company,Magic Hat Brewing Company Single Chair Ale,"Notes:Single Chair celebrates the uniqueness of the Mad River Glen Cooperative Ski Area in Vermont. Medium bodied and ideally balanced for all tastes, Single Chair's tempting light golden color, heady aroma and smooth liquid go down effortlessly and often!17 IBU\t",5,15,25,22,40,10,22,34,45,3,34,50,7,64,3.229167,3.441667,3.458333,3.404167,3.575
Blonde,Prairie Path Ale,Two Brothers Brewing Company,Two Brothers Brewing Company Prairie Path Ale,Notes:,5.1,15,25,24,26,7,43,38,32,1,37,70,7,68,3.415929,3.575221,3.473451,3.415929,3.632743
Blonde,Summer Ale,Blue Point Brewing Company,Blue Point Brewing Company Blue Point Summer Ale,"Notes:The delicious, refreshing taste of Summer Ale comes from a substantial portion of wheat malt added to a traditional barley malt mix which gives this delicious brew a unique tartness not found in many light ales these days. No surprise – this light, thirst-quenching brew is best enjoyed on hot summer days.\t",4.4,15,25,16,22,3,25,14,25,6,27,37,1,46,3.163717,3.473451,3.477876,3.331858,3.610619
Blonde,Aud Blonde,Russian River Brewing Company,Russian River Brewing Company Aud Blonde,Notes:,4.5,15,25,27,38,4,51,27,43,0,36,80,8,49,3.568182,3.806818,3.886364,3.806818,4.147727
Blonde,Gossamer Golden Ale,Half Acre Beer Company,Half Acre Beer Company Gossamer Golden Ale,Notes:,4.2,15,25,23,44,9,55,41,54,5,74,97,5,67,3.821429,3.77551,3.836735,3.846939,4.117347
Blonde,Heavy Seas - Gold Ale,Heavy Seas Beer,Heavy Seas Beer Heavy Seas - Gold Ale,Notes:,4.5,15,25,22,31,7,34,33,27,3,31,53,3,61,3.285714,3.591837,3.520408,3.489796,3.602041
Blonde,Sum'r Summer Ale,Uinta Brewing Company,Uinta Brewing Company Sum'R,"Notes:Citrusy and thirst-quenching, this refreshing golden ale is highlighted by the use of unique hops.17 IBU\t",4,15,25,27,34,6,41,30,48,4,48,61,1,65,3.520833,3.6875,3.645833,3.708333,3.770833
